cap_k,wy_type,n_cuttings,et_bin_idx,et_bin_label,et_bin_center,mean_saved_mm,mean_saved_acft,count,is_model
0,Wet,11,2,300–500,400,171.88406499215174,0.56392409774328,0,True
0,Wet,11,3,500–700,600,257.8260974882276,0.84588614661492,0,True
0,Wet,11,4,700–900,800,343.76812998430347,1.12784819548656,0,True
0,Wet,11,5,900–1100,1000,388.487625,1.2745656988188976,8,False
0,Wet,11,6,1100–1400,1250,425.3727,1.3955797244094488,10,False
0,Wet,11,7,1400–1700,1550,666.050751844588,2.18520587875521,0,True
0,Wet,11,8,1700–2100,1900,816.4493087127207,2.6786394642805798,0,True
0,Wet,11,9,2100–2500,2300,988.3333737048725,3.24256356202386,0,True
0,Wet,12,0,0–150,75,32.22826218602845,0.105735768326865,0,True
0,Wet,12,1,150–300,225,96.68478655808535,0.31720730498059496,0,True
0,Wet,12,2,300–500,400,171.88406499215174,0.56392409774328,0,True
0,Wet,12,3,500–700,600,257.8260974882276,0.84588614661492,0,True
0,Wet,12,4,700–900,800,343.76812998430347,1.12784819548656,0,True
0,Wet,12,5,900–1100,1000,429.7101624803794,1.4098102443582001,0,True
0,Wet,12,6,1100–1400,1250,537.1377031004741,1.7622628054477498,1,True
0,Wet,12,7,1400–1700,1550,666.050751844588,2.18520587875521,0,True
0,Wet,12,8,1700–2100,1900,816.4493087127207,2.6786394642805798,0,True
0,Wet,12,9,2100–2500,2300,988.3333737048725,3.24256356202386,0,True
0,Wet,13,0,0–150,75,32.22826218602845,0.105735768326865,0,True
0,Wet,13,1,150–300,225,96.68478655808535,0.31720730498059496,0,True
0,Wet,13,2,300–500,400,171.88406499215174,0.56392409774328,0,True
0,Wet,13,3,500–700,600,257.8260974882276,0.84588614661492,0,True
0,Wet,13,4,700–900,800,343.76812998430347,1.12784819548656,0,True
0,Wet,13,5,900–1100,1000,429.7101624803794,1.4098102443582001,0,True
0,Wet,13,6,1100–1400,1250,537.1377031004741,1.7622628054477498,0,True
0,Wet,13,7,1400–1700,1550,666.050751844588,2.18520587875521,0,True
0,Wet,13,8,1700–2100,1900,816.4493087127207,2.6786394642805798,0,True
0,Wet,13,9,2100–2500,2300,988.3333737048725,3.24256356202386,0,True
0,Wet,14,0,0–150,75,32.22826218602845,0.105735768326865,0,True
0,Wet,14,1,150–300,225,96.68478655808535,0.31720730498059496,0,True
0,Wet,14,2,300–500,400,171.88406499215174,0.56392409774328,0,True
