UniqueID,county,WY,n_cuttings,n_cp_season,cutoff_date,n_late_cuts,late_et_mm,total_et_mm,late_cycle_et_mm_list,late_cut_dates,area_acres,late_et_acft
3904951,San Joaquin,2019,8.0,0,2019-07-01,3,513.4280000000001,1056.9140000000002,"[256.906, 169.86100000000002, 86.661]","[Timestamp('2019-07-29 00:00:00'), Timestamp('2019-08-31 00:00:00'), Timestamp('2019-09-20 00:00:00')]",23.070378476849342,38.86147729859516
3904962,San Joaquin,2019,4.0,0,2019-07-01,2,405.75199999999995,648.8209999999999,"[212.09599999999998, 193.656]","[Timestamp('2019-07-19 00:00:00'), Timestamp('2019-08-23 00:00:00')]",42.812501876727474,56.992317130859334
3905082,San Joaquin,2019,4.0,0,2019-07-01,0,0.0,426.30800000000005,[],[],6.9780258335246055,0.0
3905114,San Joaquin,2019,4.0,0,2019-07-01,1,218.179,301.172,[218.179],[Timestamp('2019-08-27 00:00:00')],7.196875592624704,5.151598162477905
3905118,San Joaquin,2019,10.0,0,2019-07-01,3,387.76900000000006,993.5840000000001,"[133.40400000000002, 153.041, 101.32400000000003]","[Timestamp('2019-07-18 00:00:00'), Timestamp('2019-08-17 00:00:00'), Timestamp('2019-09-08 00:00:00')]",20.46832634538454,26.03996863065426
3905123,San Joaquin,2019,5.0,0,2019-07-01,2,292.389,651.3280000000001,"[138.497, 153.89199999999997]","[Timestamp('2019-07-05 00:00:00'), Timestamp('2019-08-08 00:00:00')]",52.158127097953795,50.03432619436881
3905127,San Joaquin,2019,8.0,0,2019-07-01,3,492.918,1158.458,"[211.00300000000004, 193.376, 88.539]","[Timestamp('2019-07-24 00:00:00'), Timestamp('2019-08-31 00:00:00'), Timestamp('2019-09-20 00:00:00')]",24.556347070678957,39.71215710428126
3905142,San Joaquin,2019,6.0,0,2019-07-01,3,486.05500000000006,826.8870000000001,"[172.947, 148.452, 164.65600000000003]","[Timestamp('2019-07-05 00:00:00'), Timestamp('2019-08-05 00:00:00'), Timestamp('2019-09-08 00:00:00')]",50.30719099809667,80.22329960820171
3905216,San Joaquin,2019,8.0,8,2019-07-01,2,281.78099999999995,882.328,"[166.12299999999996, 115.658]","[Timestamp('2019-07-29 00:00:00'), Timestamp('2019-08-25 00:00:00')]",28.21538280328127,26.08451043862007
3905246,San Joaquin,2019,6.0,7,2019-07-01,2,400.65799999999996,963.4889999999998,"[241.01, 159.64799999999997]","[Timestamp('2019-08-07 00:00:00'), Timestamp('2019-09-10 00:00:00')]",53.521927775316534,70.35429310565212
3905277,San Joaquin,2019,7.0,8,2019-07-01,2,399.711,990.403,"[291.59900000000005, 108.112]","[Timestamp('2019-08-19 00:00:00'), Timestamp('2019-09-10 00:00:00')]",78.25274816418845,102.6196988892911
3905284,San Joaquin,2019,7.0,0,2019-07-01,3,526.995,1015.523,"[177.56900000000005, 202.641, 146.785]","[Timestamp('2019-07-07 00:00:00'), Timestamp('2019-08-13 00:00:00'), Timestamp('2019-09-12 00:00:00')]",39.254542268857506,67.87056267380761
3905294,San Joaquin,2019,6.0,0,2019-07-01,2,449.29599999999994,1066.061,"[271.20899999999995, 178.087]","[Timestamp('2019-08-14 00:00:00'), Timestamp('2019-09-17 00:00:00')]",25.591367580430013,37.72342220609213
3905337,San Joaquin,2019,5.0,6,2019-07-01,2,459.4680000000001,931.3230000000001,"[282.50800000000004, 176.96]","[Timestamp('2019-08-02 00:00:00'), Timestamp('2019-09-05 00:00:00')]",19.976561228726776,30.113486334122822
