UniqueID,county,WY,n_cuttings,n_cp_season,et_cum_minET_to_last_cut_mm,cut_match_ratio,gdd5_mean
3900497,San Joaquin,2020,8,8,1140.97,1.0,4100.84228515625
3900543,San Joaquin,2020,8,9,1161.5159999999998,0.8888888888888888,4106.046875
3900659,San Joaquin,2020,9,10,1030.468,0.9,3902.341552734375
3900677,San Joaquin,2020,7,9,933.789,0.7777777777777778,3676.059814453125
3900703,San Joaquin,2020,8,9,1070.509,0.8888888888888888,4079.54248046875
3900735,San Joaquin,2020,6,9,997.177,0.6666666666666666,4026.5
3900755,San Joaquin,2020,8,8,1073.9099999999999,1.0,4183.3349609375
3900801,San Joaquin,2020,6,7,1063.3339999999998,0.8571428571428571,3983.289794921875
3900819,San Joaquin,2020,8,8,1056.1950000000002,1.0,4210.4912109375
3900864,San Joaquin,2020,6,7,845.68,0.8571428571428571,3115.838134765625
3900924,San Joaquin,2020,8,11,1247.9739999999997,0.7272727272727273,4268.48388671875
3901062,San Joaquin,2020,8,8,965.4300000000001,1.0,3784.18505859375
3901103,San Joaquin,2020,7,8,974.054,0.875,3562.59912109375
3901200,San Joaquin,2020,7,7,875.162,1.0,3661.93017578125
3901351,San Joaquin,2020,7,7,965.6129999999999,1.0,4023.34619140625
3901446,San Joaquin,2020,8,8,951.492,1.0,4242.14013671875
3901521,San Joaquin,2020,7,9,1155.4959999999999,0.7777777777777778,4127.18994140625
